Position,"Track Name",Artist,Streams,URL
178,Culpables,"Karol G",744331,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
179,Wolves,"Selena Gomez",743149,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
180,"Into You","Ariana Grande",740638,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe
181,"XO TOUR Llif3","Lil Uzi Vert",740228,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
182,"I'm a Mess","Bebe Rexha",737879,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
183,YOSEMITE,"Travis Scott",737266,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
184,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",736722,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
185,Closer,"The Chainsmokers",732872,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
186,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",730418,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
187,Terremoto,Anitta,729594,https://open.spotify.com/track/7G2XZhDNHo7SSDWSVxC0UT
188,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",725608,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
189,"Side To Side","Ariana Grande",713589,https://open.spotify.com/track/44ONERBHALxftQNWq6dmyd
190,goosebumps,"Travis Scott",712753,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
191,"Dile la Verdad","Jowell & Randy",710965,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE
192,"In My Blood","Shawn Mendes",707936,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
193,"Jackie Chan",Tiësto,703124,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
194,"We Will Rock You - Remastered",Queen,700703,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
195,"Woman Like Me (feat. Nicki Minaj)","Little Mix",700526,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
196,"Racks on Racks","Lil Pump",700007,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s
197,Africa,Toto,698671,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
198,"Thinking out Loud","Ed Sheeran",698475,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
199,Happier,"Ed Sheeran",697799,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
200,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",694503,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
