,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
150,"Before I Let Go - Homecoming Live Bonus Track",Beyoncé,643298,https://open.spotify.com/track/3FUXVbi9ugVUqJ3rPrfd2G
151,Africa,Toto,640046,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
152,8,"Billie Eilish",637725,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
153,"Pop Out (feat. Lil TJay)","Polo G",634085,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
154,"In My Feelings",Drake,632936,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
155,"What I Like About You (feat. Theresa Rex)","Jonas Blue",629327,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
156,"Havana (feat. Young Thug)","Camila Cabello",628390,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
157,FRIENDS,Marshmello,627713,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
158,Congratulations,"Post Malone",621867,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
159,Cristina,"Sebastian Yatra",619234,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
160,IDGAF,"Dua Lipa",616085,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
161,Reggaeton,"J Balvin",614413,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
162,Rolex,"Capital Bra",609615,https://open.spotify.com/track/38lQ7lYhN3eSWepnZHaiBF
163,"Racks In The Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle",608218,https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp
164,"I Fall Apart","Post Malone",605192,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
165,"Beautiful (feat. Camila Cabello)",Bazzi,601898,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
166,"Don't Know What To Do",BLACKPINK,601878,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
167,"Wonderwall - Remastered",Oasis,601543,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
168,Closer,"The Chainsmokers",600546,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
169,"Wake Me Up",Avicii,599163,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
170,Rebota,Guaynaa,598063,https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE
171,Natural,"Imagine Dragons",596965,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
172,"Jamais Vu",BTS,596438,https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa
173,Photograph,"Ed Sheeran",594384,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
174,"Something Just Like This","The Chainsmokers",592921,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
175,changes,XXXTENTACION,590930,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
176,"I'm Yours","Jason Mraz",589777,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
177,"Speechless (feat. Erika Sirola)","Robin Schulz",587507,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
178,Freaky,"Tory Lanez",587138,https://open.spotify.com/track/0NJp8GyCOWnQh71xKSPfuV
179,"I Don't Belong In This Club","Why Don't We",584903,https://open.spotify.com/track/45ZGEdLxCZvdMX9jWlsAAx
180,"We Will Rock You - Remastered",Queen,582200,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
181,"Leave Me Alone","Flipp Dinero",581360,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
182,"Te Boté - Remix","Nio Garcia",575597,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
183,Swing,"Danny Ocean",575159,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
184,"This Feeling","The Chainsmokers",572754,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
185,Moonlight,Gaullin,570649,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
186,"Thinking out Loud","Ed Sheeran",569087,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
187,"Solo (feat. Demi Lovato)","Clean Bandit",565502,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
188,"XO TOUR Llif3","Lil Uzi Vert",563778,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
189,"New Rules","Dua Lipa",561032,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
190,"Wow. - Remix","Post Malone",557105,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk
191,"R.I.P. (feat. Rita Ora & Anitta)","Sofia Reyes",556987,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
192,"Somebody To Love - Remastered 2011",Queen,555610,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
193,"Bola Rebola",Tropkillaz,554939,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
194,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",553019,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
195,"Don't Stop Believin'",Journey,547276,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
196,"Last Hurrah","Bebe Rexha",546041,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
197,"Young Dumb & Broke",Khalid,545610,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
198,"Mr. Brightside","The Killers",545407,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
199,i,"Lil Skies",544855,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
200,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,544429,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
